timestamp,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,p2_x,p2_y,p2_z,p3_x,p3_y,p3_z,p4_x,p4_y,p4_z,p5_x,p5_y,p5_z,p6_x,p6_y,p6_z,p7_x,p7_y,p7_z,p8_x,p8_y,p8_z,p9_x,p9_y,p9_z,p10_x,p10_y,p10_z,p11_x,p11_y,p11_z,p12_x,p12_y,p12_z,p13_x,p13_y,p13_z,p14_x,p14_y,p14_z,p15_x,p15_y,p15_z,p16_x,p16_y,p16_z,p17_x,p17_y,p17_z,p18_x,p18_y,p18_z,p19_x,p19_y,p19_z,p20_x,p20_y,p20_z,o0_x,o0_y,o0_z,o0_w,o1_x,o1_y,o1_z,o1_w,o2_x,o2_y,o2_z,o2_w,o3_x,o3_y,o3_z,o3_w,o4_x,o4_y,o4_z,o4_w,o5_x,o5_y,o5_z,o5_w,o6_x,o6_y,o6_z,o6_w,o7_x,o7_y,o7_z,o7_w,o8_x,o8_y,o8_z,o8_w,o9_x,o9_y,o9_z,o9_w,o10_x,o10_y,o10_z,o10_w,o11_x,o11_y,o11_z,o11_w,o12_x,o12_y,o12_z,o12_w,o13_x,o13_y,o13_z,o13_w,o14_x,o14_y,o14_z,o14_w,o15_x,o15_y,o15_z,o15_w,o16_x,o16_y,o16_z,o16_w,o17_x,o17_y,o17_z,o17_w,o18_x,o18_y,o18_z,o18_w,o19_x,o19_y,o19_z,o19_w,o20_x,o20_y,o20_z,o20_w
1750811550.078105,0.0,0.0,0.0,0.02495,0.0,0.02532,0.0,-0.0,0.03274,-0.0,-0.0,0.02874,-0.0,0.0,0.02874,0.01118,0.0,0.0529,-0.0,-0.0,0.03826,-0.0,-0.0,0.02088,0.0,-0.0,0.01876,0.0,0.0,0.05129,-0.0,-0.0,0.04186,0.0,-0.0,0.02477,0.0,-0.0,0.01968,-0.01127,0.0,0.0498,-0.0,-0.0,0.03974,-0.0,-0.0,0.02356,-0.0,-0.0,0.01987,-0.02014,0.0,0.04731,-0.0,-0.0,0.03318,-0.0,-0.0,0.01802,-0.0,0.0,0.01913,0.68034,-0.10087,-0.29801,-0.66196,0.20903,0.42714,0.00105,0.87969,0.0,-0.1961,0.0,0.98058,0.0,-0.20745,0.0,0.97825,0.0,0.0,-0.0,1.0,0.00551,0.03592,0.01308,0.99925,0.10799,0.00111,-0.0034,0.99415,0.0688,0.00118,-0.00341,0.99762,-0.0,0.0,-0.0,1.0,0.01456,-0.00159,-0.00921,0.99985,0.14594,0.00814,-0.01837,0.98909,0.09281,0.00864,-0.01849,0.99547,-0.0,-0.0,-0.0,1.0,0.10535,-0.05704,0.03954,0.99201,0.0907,-0.01181,0.04297,0.99488,0.0569,-0.01248,0.04308,0.99737,0.0,0.0,-0.0,1.0,0.18569,-0.06828,0.03872,0.97947,0.00097,-0.00013,0.04488,0.99899,0.00061,-0.00014,0.04488,0.99899,0.0,0.0,-0.0,1.0
1750811550.0813577,0.0,0.0,0.0,0.02495,-0.0,0.02532,-0.0,0.0,0.03274,0.0,0.0,0.02874,0.0,-0.0,0.02874,0.01118,-1e-05,0.0529,0.0,0.0,0.03826,0.0,0.0,0.02088,-0.0,0.0,0.01876,-0.0,-1e-05,0.05129,0.0,0.0,0.04186,-0.0,0.0,0.02476,-0.0,0.0,0.01968,-0.01127,-0.0,0.0498,0.0,0.0,0.03974,0.0,0.0,0.02356,0.0,0.0,0.01987,-0.02015,-0.0,0.04731,0.0,0.0,0.03317,0.0,0.0,0.01802,0.0,-0.0,0.01913,0.68003,-0.10077,-0.29793,-0.66226,0.20909,0.42699,0.001,0.87975,-0.0,-0.19604,0.0,0.9806,-0.0,-0.20735,0.0,0.97827,-0.0,0.0,0.0,1.0,0.00541,0.03589,0.01305,0.99926,0.10849,0.00114,-0.00347,0.99409,0.06912,0.00121,-0.00348,0.9976,0.0,-0.0,0.0,1.0,0.01456,-0.00169,-0.00938,0.99985,0.14597,0.00821,-0.01852,0.98908,0.09283,0.00871,-0.01864,0.99547,-0.0,0.0,0.0,1.0,0.10541,-0.05704,0.03953,0.992,0.09059,-0.01179,0.04295,0.99489,0.05683,-0.01246,0.04306,0.99738,0.0,0.0,-0.0,1.0,0.18583,-0.06829,0.03872,0.97944,0.00085,-0.00011,0.04487,0.99899,0.00053,-0.00012,0.04487,0.99899,-0.0,0.0,-0.0,1.0
1750811550.09038,0.0,0.0,0.0,0.02495,0.0,0.02532,0.0,-0.0,0.03274,-0.0,-0.0,0.02874,-0.0,0.0,0.02874,0.01118,0.0,0.0529,-0.0,-0.0,0.03826,-0.0,-0.0,0.02088,0.0,-0.0,0.01876,0.0,0.0,0.05129,-0.0,-0.0,0.04186,0.0,-0.0,0.02477,0.0,-0.0,0.01968,-0.01127,0.0,0.0498,-0.0,-0.0,0.03974,-0.0,-0.0,0.02356,-0.0,-0.0,0.01987,-0.02014,0.0,0.04731,-0.0,-0.0,0.03318,-0.0,-0.0,0.01802,-0.0,0.0,0.01913,0.68004,-0.10066,-0.29801,-0.66231,0.20901,0.4268,0.0009,0.87986,0.0,-0.19597,-0.0,0.98061,0.0,-0.20725,0.0,0.97829,-0.0,-0.0,0.0,1.0,0.00542,0.03593,0.01281,0.99926,0.10827,0.00121,-0.0037,0.99411,0.06898,0.00128,-0.00371,0.99761,-0.0,-0.0,0.0,1.0,0.01456,-0.00169,-0.00938,0.99985,0.14597,0.00821,-0.01852,0.98908,0.09283,0.00871,-0.01864,0.99547,0.0,0.0,0.0,1.0,0.10558,-0.05699,0.03954,0.99199,0.09057,-0.01179,0.04296,0.99489,0.05682,-0.01245,0.04306,0.99738,-0.0,-0.0,-0.0,1.0,0.18599,-0.06829,0.03872,0.97941,0.00079,-0.00011,0.04487,0.99899,0.0005,-0.00011,0.04487,0.99899,0.0,-0.0,-0.0,1.0
1750811550.1076736,0.0,0.0,0.0,0.02495,-0.0,0.02532,-0.0,0.0,0.03274,0.0,0.0,0.02874,0.0,-0.0,0.02874,0.01118,-1e-05,0.0529,0.0,0.0,0.03826,0.0,0.0,0.02088,-0.0,0.0,0.01876,-0.0,-1e-05,0.05129,0.0,0.0,0.04186,-0.0,0.0,0.02476,-0.0,0.0,0.01968,-0.01127,-0.0,0.0498,0.0,0.0,0.03974,0.0,0.0,0.02356,0.0,0.0,0.01987,-0.02015,-0.0,0.04731,0.0,0.0,0.03317,0.0,0.0,0.01802,0.0,-0.0,0.01913,0.6801,-0.10063,-0.29778,-0.66227,0.20908,0.42676,0.00093,0.87986,0.0,-0.19597,0.0,0.98061,0.0,-0.20724,0.0,0.97829,0.0,0.0,-0.0,1.0,0.00524,0.03592,0.01285,0.99926,0.10887,0.00122,-0.00371,0.99405,0.06935,0.00129,-0.00372,0.99758,-0.0,-0.0,0.0,1.0,0.01456,-0.00169,-0.00938,0.99985,0.14597,0.00821,-0.01852,0.98908,0.09283,0.00871,-0.01864,0.99547,-0.0,0.0,-0.0,1.0,0.10559,-0.0569,0.03956,0.99199,0.09062,-0.0118,0.04296,0.99489,0.05685,-0.01246,0.04307,0.99738,-0.0,-0.0,0.0,1.0,0.18598,-0.06829,0.03872,0.97941,0.00078,-0.00011,0.04487,0.99899,0.00049,-0.00011,0.04487,0.99899,-0.0,0.0,-0.0,1.0
1750811550.1360564,0.0,0.0,0.0,0.02495,-0.0,0.02532,-0.0,0.0,0.03274,0.0,0.0,0.02874,0.0,-0.0,0.02874,0.01118,-0.0,0.0529,0.0,0.0,0.03826,0.0,0.0,0.02088,-0.0,0.0,0.01876,-0.0,-0.0,0.05129,0.0,0.0,0.04186,-0.0,0.0,0.02477,-0.0,0.0,0.01968,-0.01127,-0.0,0.0498,0.0,0.0,0.03974,0.0,0.0,0.02356,0.0,0.0,0.01987,-0.02015,-0.0,0.04731,0.0,0.0,0.03317,0.0,0.0,0.01802,0.0,-0.0,0.01913,0.68011,-0.10063,-0.29771,-0.6623,0.20908,0.42674,0.00093,0.87988,0.0,-0.19597,0.0,0.98061,-0.0,-0.20724,0.0,0.97829,0.0,0.0,0.0,1.0,0.00541,0.03599,0.01323,0.99925,0.10833,0.00108,-0.00329,0.99411,0.06901,0.00114,-0.0033,0.99761,0.0,-0.0,0.0,1.0,0.01457,-0.00169,-0.00938,0.99985,0.14597,0.00821,-0.01852,0.98908,0.09283,0.00871,-0.01864,0.99547,-0.0,0.0,-0.0,1.0,0.10494,-0.05647,0.0398,0.99208,0.09258,-0.01211,0.04316,0.9947,0.05808,-0.01279,0.04327,0.99729,0.0,0.0,0.0,1.0,0.18597,-0.06829,0.03873,0.97942,0.00053,-7e-05,0.04486,0.99899,0.00033,-8e-05,0.04486,0.99899,-0.0,0.0,0.0,1.0
1750811550.168948,0.0,0.0,0.0,0.02495,0.0,0.02532,0.0,-0.0,0.03274,-0.0,-0.0,0.02874,-0.0,0.0,0.02874,0.01118,0.0,0.0529,-0.0,-0.0,0.03826,-0.0,-0.0,0.02088,0.0,-0.0,0.01876,0.0,0.0,0.05129,-0.0,-0.0,0.04186,0.0,-0.0,0.02477,0.0,-0.0,0.01968,-0.01127,0.0,0.0498,-0.0,-0.0,0.03974,-0.0,-0.0,0.02356,-0.0,-0.0,0.01987,-0.02014,0.0,0.04731,-0.0,-0.0,0.03318,-0.0,-0.0,0.01802,-0.0,0.0,0.01913,0.68033,-0.10064,-0.29774,-0.66213,0.20902,0.42664,0.00092,0.87994,0.0,-0.19592,0.0,0.98062,0.0,-0.20717,0.0,0.97831,-0.0,0.0,-0.0,1.0,0.00581,0.03573,0.01293,0.99926,0.10831,0.00118,-0.00361,0.99411,0.069,0.00125,-0.00362,0.99761,-0.0,-0.0,0.0,1.0,0.01463,-0.00167,-0.00937,0.99985,0.14596,0.00821,-0.01852,0.98908,0.09282,0.00871,-0.01864,0.99547,-0.0,-0.0,0.0,1.0,0.10534,-0.05684,0.03954,0.99202,0.09128,-0.01188,0.04295,0.99483,0.05727,-0.01255,0.04306,0.99735,0.0,-0.0,0.0,1.0,0.1858,-0.06819,0.03874,0.97945,0.00075,-0.0001,0.04487,0.99899,0.00047,-0.00011,0.04487,0.99899,-0.0,0.0,-0.0,1.0
1750811550.2046509,0.0,0.0,0.0,0.02495,-1e-05,0.02532,-0.0,0.0,0.03274,0.0,0.0,0.02874,0.0,-0.0,0.02874,0.01118,-1e-05,0.0529,0.0,0.0,0.03826,0.0,0.0,0.02088,-0.0,0.0,0.01876,-0.0,-1e-05,0.05129,0.0,0.0,0.04186,-0.0,0.0,0.02476,-0.0,0.0,0.01968,-0.01128,-1e-05,0.0498,0.0,0.0,0.03973,0.0,0.0,0.02356,0.0,0.0,0.01987,-0.02015,-1e-05,0.04731,0.0,0.0,0.03317,0.0,0.0,0.01802,0.0,-0.0,0.01913,0.68024,-0.10072,-0.29746,-0.66223,0.20907,0.42667,0.00099,0.87991,0.0,-0.19594,0.0,0.98062,-0.0,-0.20719,0.0,0.9783,0.0,-0.0,-0.0,1.0,0.00573,0.03573,0.01284,0.99926,0.10854,0.00122,-0.00372,0.99408,0.06914,0.00129,-0.00373,0.9976,-0.0,0.0,-0.0,1.0,0.01463,-0.00167,-0.00937,0.99985,0.14596,0.00821,-0.01852,0.98908,0.09282,0.00871,-0.01864,0.99547,0.0,-0.0,-0.0,1.0,0.10535,-0.05675,0.03964,0.99202,0.09106,-0.01187,0.04301,0.99485,0.05713,-0.01254,0.04312,0.99736,-0.0,0.0,0.0,1.0,0.1858,-0.06819,0.03874,0.97945,0.00075,-0.0001,0.04487,0.99899,0.00047,-0.00011,0.04487,0.99899,0.0,0.0,0.0,1.0
1750811550.2355592,0.0,0.0,0.0,0.02495,-0.0,0.02532,-0.0,0.0,0.03274,0.0,0.0,0.02874,0.0,-0.0,0.02874,0.01118,-0.0,0.0529,0.0,0.0,0.03826,0.0,0.0,0.02088,-0.0,0.0,0.01876,-0.0,-0.0,0.05129,0.0,0.0,0.04186,-0.0,0.0,0.02477,-0.0,0.0,0.01968,-0.01127,-0.0,0.0498,0.0,0.0,0.03974,0.0,0.0,0.02356,0.0,0.0,0.01987,-0.02015,-0.0,0.04731,0.0,0.0,0.03317,0.0,0.0,0.01802,0.0,-0.0,0.01913,0.68025,-0.10081,-0.29749,-0.66226,0.20902,0.42669,0.001,0.87991,0.0,-0.19591,-0.0,0.98062,0.0,-0.20713,0.0,0.97831,0.0,0.0,0.0,1.0,0.00582,0.03582,0.01297,0.99926,0.10809,0.00116,-0.00355,0.99413,0.06886,0.00123,-0.00356,0.99762,-0.0,0.0,0.0,1.0,0.01463,-0.00167,-0.00937,0.99985,0.14596,0.00821,-0.01852,0.98908,0.09282,0.00871,-0.01864,0.99547,0.0,0.0,-0.0,1.0,0.10536,-0.05673,0.03971,0.99202,0.09071,-0.01184,0.04307,0.99488,0.0569,-0.0125,0.04318,0.99737,0.0,-0.0,0.0,1.0,0.18584,-0.06812,0.03879,0.97945,0.00099,-0.00013,0.04492,0.99899,0.00062,-0.00014,0.04492,0.99899,-0.0,0.0,-0.0,1.0
1750811550.2675166,0.0,0.0,0.0,0.02495,0.0,0.02532,0.0,-0.0,0.03274,-0.0,-0.0,0.02874,-0.0,0.0,0.02874,0.01118,0.0,0.0529,-0.0,-0.0,0.03826,-0.0,-0.0,0.02088,0.0,-0.0,0.01876,0.0,0.0,0.05129,-0.0,-0.0,0.04186,0.0,-0.0,0.02477,0.0,-0.0,0.01968,-0.01127,0.0,0.0498,-0.0,-0.0,0.03974,-0.0,-0.0,0.02356,-0.0,-0.0,0.01987,-0.02014,0.0,0.04731,-0.0,-0.0,0.03318,-0.0,-0.0,0.01802,-0.0,0.0,0.01913,0.68027,-0.10082,-0.29735,-0.66233,0.20912,0.42639,0.00097,0.88003,0.0,-0.19576,0.0,0.98065,-0.0,-0.20688,0.0,0.97837,0.0,-0.0,0.0,1.0,0.00582,0.03582,0.01297,0.99926,0.10809,0.00116,-0.00355,0.99413,0.06886,0.00123,-0.00356,0.99762,-0.0,0.0,-0.0,1.0,0.01463,-0.00168,-0.00937,0.99985,0.14596,0.00821,-0.01852,0.98908,0.09282,0.00871,-0.01864,0.99547,-0.0,0.0,0.0,1.0,0.10542,-0.05685,0.0396,0.99201,0.0908,-0.01183,0.04299,0.99487,0.05697,-0.01249,0.0431,0.99737,0.0,-0.0,-0.0,1.0,0.18589,-0.06826,0.03874,0.97943,0.00075,-0.0001,0.04488,0.99899,0.00047,-0.00011,0.04488,0.99899,0.0,-0.0,0.0,1.0
1750811550.2991867,0.0,0.0,0.0,0.02495,-0.0,0.02532,-0.0,0.0,0.03274,0.0,0.0,0.02874,0.0,-0.0,0.02874,0.01118,-0.0,0.0529,0.0,0.0,0.03826,0.0,0.0,0.02088,-0.0,0.0,0.01876,-0.0,-0.0,0.05129,0.0,0.0,0.04186,-0.0,0.0,0.02477,-0.0,0.0,0.01968,-0.01127,-0.0,0.0498,0.0,0.0,0.03974,0.0,0.0,0.02356,0.0,0.0,0.01987,-0.02015,-0.0,0.04731,0.0,0.0,0.03317,0.0,0.0,0.01802,0.0,-0.0,0.01913,0.68022,-0.10076,-0.29724,-0.66238,0.20903,0.42613,0.0009,0.88018,0.0,-0.19565,0.0,0.98067,0.0,-0.20671,-0.0,0.9784,-0.0,-0.0,0.0,1.0,0.00582,0.03588,0.01296,0.99926,0.10802,0.00116,-0.00356,0.99414,0.06881,0.00123,-0.00358,0.99762,-0.0,0.0,-0.0,1.0,0.01463,-0.00167,-0.00937,0.99985,0.14598,0.00821,-0.01852,0.98908,0.09283,0.00871,-0.01864,0.99547,0.0,-0.0,0.0,1.0,0.10546,-0.05692,0.03955,0.992,0.09074,-0.01181,0.04295,0.99488,0.05693,-0.01248,0.04306,0.99737,0.0,0.0,-0.0,1.0,0.18579,-0.06813,0.03876,0.97946,0.00099,-0.00013,0.0449,0.99899,0.00062,-0.00014,0.0449,0.99899,-0.0,-0.0,0.0,1.0
